time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ori_w,ori_x,ori_y,ori_z,angvel_x,angvel_y,angvel_z,angacc_x,angacc_y,angacc_z,alpha,drag_x,drag_y,drag_z,lift_x,lift_y,lift_z
1.55,0,0,98.5416,0,0,24.3419,0,0,-20.4343,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.631284,0,0,0,
1.56,0,0,98.783,0,0,24.1393,0,0,-20.2581,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.620817,0,0,0,
1.57,0,0,99.0224,0,0,23.9385,0,0,-20.0849,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.610527,0,0,0,
1.58,0,0,99.2598,0,0,23.7393,0,0,-19.9146,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.600409,0,0,0,
1.59,0,0,99.4952,0,0,23.5419,0,0,-19.7471,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.590461,0,0,0,
1.6,0,0,99.7286,0,0,23.3461,0,0,-19.5824,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.580679,0,0,0,
1.61,0,0,99.9602,0,0,23.1518,0,0,-19.4204,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.571059,0,0,0,
1.62,0,0,100.19,0,0,22.9592,0,0,-19.2612,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.561597,0,0,0,
1.63,0,0,100.417,0,0,22.7682,0,0,-19.1045,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.552292,0,0,0,
1.64,0,0,100.643,0,0,22.5787,0,0,-18.9504,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.543139,0,0,0,
1.65,0,0,100.867,0,0,22.3907,0,0,-18.7988,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.534135,0,0,0,
1.66,0,0,101.089,0,0,22.2042,0,0,-18.6497,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.525278,0,0,0,
1.67,0,0,101.309,0,0,22.0192,0,0,-18.503,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.516564,0,0,0,
1.68,0,0,101.528,0,0,21.8356,0,0,-18.3587,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.507991,0,0,0,
1.69,0,0,101.744,0,0,21.6534,0,0,-18.2167,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.499555,0,0,0,
1.7,0,0,101.959,0,0,21.4726,0,0,-18.0769,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.491255,0,0,0,
1.71,0,0,102.172,0,0,21.2933,0,0,-17.9394,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.483087,0,0,0,
1.72,0,0,102.383,0,0,21.1152,0,0,-17.8041,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.475048,0,0,0,
1.73,0,0,102.592,0,0,20.9385,0,0,-17.6709,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.467138,0,0,0,
1.74,0,0,102.8,0,0,20.7631,0,0,-17.5398,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.459352,0,0,0,
1.75,0,0,103.006,0,0,20.589,0,0,-17.4108,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.451688,0,0,0,
1.76,0,0,103.21,0,0,20.4162,0,0,-17.2838,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.444144,0,0,0,
1.77,0,0,103.413,0,0,20.2446,0,0,-17.1588,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.436719,0,0,0,
1.78,0,0,103.613,0,0,20.0742,0,0,-17.0358,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.429409,0,0,0,
1.79,0,0,103.812,0,0,19.9051,0,0,-16.9146,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.422212,0,0,0,
1.8,0,0,104.01,0,0,19.7371,0,0,-16.7953,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.415127,0,0,0,
1.81,0,0,104.205,0,0,19.5703,0,0,-16.6779,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.408151,0,0,0,
1.82,0,0,104.399,0,0,19.4047,0,0,-16.5623,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.401283,0,0,0,
1.83,0,0,104.592,0,0,19.2402,0,0,-16.4484,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.394519,0,0,0,
1.84,0,0,104.783,0,0,19.0769,0,0,-16.3363,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.387859,0,0,0,
1.85,0,0,104.972,0,0,18.9146,0,0,-16.2259,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.381301,0,0,0,
1.86,0,0,105.159,0,0,18.7534,0,0,-16.1171,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.374842,0,0,0,
1.87,0,0,105.345,0,0,18.5933,0,0,-16.01,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.368481,0,0,0,
1.88,0,0,105.53,0,0,18.4343,0,0,-15.9046,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.362217,0,0,0,
